transaction_id,transaction_timestamp,transaction_hour,transaction_day_of_week,amount,transaction_type,customer_id,customer_age,account_age_days,customer_region,income_level,transaction_velocity_1h,transaction_velocity_24h,avg_transaction_amount_7d,deviation_from_avg_amount,is_international,merchant_risk_score,device_type,is_new_device,previous_fraud_count,is_night_transaction,high_amount_flag,fraud,true_risk_score
TXN0000000,22/06/2024 3:42,3,Saturday,220.53,online,CUST002823,20,994,East,medium,2,4,350.77,-130.24,0,0.363,mobile,0,0,1,0,0,0.1515
TXN0000001,11/01/2024 22:05,22,Thursday,67.57,POS,CUST005612,24,3662,East,medium,0,2,22.7,44.87,0,0.281,desktop,1,0,0,0,0,0.145
TXN0000002,20/01/2024 11:10,11,Saturday,64.19,online,CUST003379,36,4604,South,medium,2,3,128.32,-64.13,0,0.261,mobile,0,1,0,0,0,0.1208
TXN0000003,13/01/2024 7:30,7,Saturday,207.06,online,CUST003471,40,3471,West,medium,3,8,208.58,-1.52,0,0.034,desktop,0,1,0,0,0,0.152
TXN0000004,13/05/2024 15:56,15,Monday,374.23,POS,CUST005189,53,3892,Central,medium,1,4,107.02,267.21,0,0.428,mobile,1,0,0,0,0,0.1703
TXN0000005,24/03/2024 6:26,6,Sunday,9.97,POS,CUST005547,23,3953,West,medium,1,5,30.8,-20.83,0,0.456,desktop,1,1,0,0,0,0.33
TXN0000006,14/05/2024 21:58,21,Tuesday,44.39,online,CUST005457,36,3712,West,low,2,3,59.88,-15.49,0,0.157,desktop,0,0,0,0,0,0.0103
TXN0000007,11/04/2024 16:49,16,Thursday,612.14,transfer,CUST000206,47,189,South,medium,3,2,10.78,601.36,0,0.283,desktop,0,0,0,1,0,0.4439
TXN0000008,21/05/2024 22:11,22,Tuesday,109.83,transfer,CUST005688,40,4885,North,medium,0,4,70.57,39.26,0,0.474,mobile,0,0,0,0,0,0.0226
TXN0000009,30/03/2024 16:10,16,Saturday,584.06,transfer,CUST000731,24,3411,West,low,1,3,180.52,403.54,0,0.344,mobile,0,0,0,1,0,0.3634
TXN0000010,02/02/2024 2:03,2,Friday,123.9,online,CUST005501,46,2693,East,medium,2,4,41.34,82.56,0,0.423,mobile,0,0,1,0,0,0.2324
TXN0000011,26/06/2024 11:05,11,Wednesday,66.19,POS,CUST005268,50,182,North,low,1,6,,-24.64,0,0.38,desktop,0,0,0,0,0,0.0171
TXN0000012,02/06/2024 0:54,0,Sunday,37.9,POS,CUST000298,18,3716,North,low,1,8,68.32,-30.42,1,0.213,mobile,0,0,1,0,0,0.3883
TXN0000013,16/04/2024 11:13,11,Tuesday,73.29,POS,CUST001603,38,4475,Central,medium,5,11,177.46,-104.17,0,0.16,desktop,0,0,0,0,0,0.2023
TXN0000014,15/02/2024 13:52,13,Thursday,73.69,online,CUST002140,58,679,South,high,4,5,135.83,-62.14,0,0.197,desktop,0,0,0,0,0,0.2366
TXN0000015,09/05/2024 12:01,12,Thursday,19.15,online,CUST001438,29,4879,South,medium,3,6,61.84,-42.69,0,0.322,mobile,0,0,0,0,0,0
TXN0000016,17/04/2024 2:38,2,Wednesday,224.94,online,CUST003469,41,4552,East,low,0,5,133.09,91.85,0,0.462,desktop,0,0,1,0,0,0.193
TXN0000017,22/06/2024 13:03,13,Saturday,99.65,online,CUST002522,25,820,Central,medium,4,2,152.4,-52.75,0,0.368,mobile,0,0,0,0,0,0.1899
TXN0000018,23/03/2024 12:57,12,Saturday,3998,online,CUST001995,28,2068,West,medium,2,10,48.46,3949.54,0,0.174,mobile,0,0,0,1,0,0.3884
TXN0000019,19/02/2024 10:40,10,Monday,63.17,online,CUST000226,50,2134,West,high,1,7,58.23,4.94,0,0.297,mobile,1,0,0,0,0,0.0902
TXN0000020,24/04/2024 10:22,10,Wednesday,67.03,POS,CUST003636,19,1968,North,medium,2,2,71.92,-4.89,0,0.061,mobile,0,0,0,0,0,0.0435
TXN0000021,24/06/2024 2:08,2,Monday,63.3,online,CUST000293,35,4548,South,low,1,6,54.98,8.32,1,0.078,unknown,0,0,1,0,0,0.4286
TXN0000022,16/05/2024 14:39,14,Thursday,127.78,transfer,CUST005282,25,1398,Central,low,2,7,14.02,113.76,0,,mobile,0,0,0,0,0,0.0382
TXN0000023,10/06/2024 16:57,16,Monday,25.84,POS,CUST002761,35,2851,East,medium,1,0,63.71,-37.87,0,0.163,mobile,0,0,0,0,0,0
TXN0000024,13/04/2024 8:19,8,Saturday,13.95,transfer,CUST004969,59,1463,North,high,1,6,50.5,-36.55,0,0.273,mobile,0,0,0,0,0,0
TXN0000025,25/01/2024 18:22,18,Thursday,152.25,POS,CUST003626,18,97,North,low,1,3,13.99,138.26,0,,mobile,0,0,0,0,0,0
TXN0000026,18/05/2024 20:13,20,Saturday,130.7,POS,CUST002560,41,1936,North,medium,4,1,189.49,-58.79,0,0.512,unknown,1,0,0,0,0,0.3685
TXN0000027,07/06/2024 3:48,3,Friday,356.57,transfer,CUST005359,35,4660,East,low,2,5,86.19,270.38,0,0.085,mobile,1,0,1,0,0,0.3143
TXN0000028,11/04/2024 9:36,9,Thursday,28.65,transfer,CUST004309,23,865,East,low,0,4,55.38,-26.73,0,0.222,unknown,1,0,0,0,0,0.1454
TXN0000029,31/03/2024 10:56,10,Sunday,226.85,POS,CUST002968,58,3208,South,low,2,6,28.48,198.37,0,0.278,mobile,0,0,0,0,0,0.0655
TXN0000030,27/02/2024 15:32,15,Tuesday,302.57,online,CUST004390,42,2672,East,medium,2,2,21.7,280.87,0,0.246,mobile,1,1,0,0,0,0.2847
TXN0000031,21/02/2024 1:21,1,Wednesday,121.88,POS,CUST005568,30,1420,West,high,1,6,86.6,35.28,0,0.263,mobile,0,0,1,0,0,0.1396
TXN0000032,20/06/2024 22:47,22,Thursday,222.31,online,CUST005545,51,1146,South,low,0,3,132.71,89.6,0,0.376,mobile,0,0,0,0,0,0.0203
TXN0000033,01/02/2024 14:27,14,Thursday,69.16,online,CUST001515,47,2455,North,low,1,6,103.3,-34.14,0,0.153,desktop,0,1,0,0,0,0.1072
TXN0000034,19/04/2024 12:18,12,Friday,211.93,POS,CUST003356,18,1826,North,medium,1,3,24.09,187.84,0,0.236,mobile,0,0,0,0,0,0
TXN0000035,21/05/2024 0:52,0,Tuesday,128.57,transfer,CUST003873,46,3548,South,medium,1,7,157.38,-28.81,0,0.192,mobile,0,0,1,0,0,0.2253
TXN0000036,19/06/2024 16:39,16,Wednesday,20.39,online,CUST003818,35,4681,East,medium,1,3,71.29,-50.9,0,0.157,desktop,0,0,0,0,0,0.0069
TXN0000037,28/05/2024 20:18,20,Tuesday,15.4,POS,CUST000137,38,4939,East,low,0,4,120.9,-105.5,0,0.246,mobile,0,0,0,0,0,0.0024
TXN0000038,25/03/2024 7:48,7,Monday,57.37,POS,CUST000642,22,3826,Central,medium,1,9,51.85,5.52,0,0.417,desktop,1,0,0,0,0,0.1839
TXN0000039,22/01/2024 0:15,0,Monday,98.66,transfer,CUST005543,39,1303,Central,high,0,8,87.9,10.76,0,0.543,mobile,0,0,1,0,0,0.15
TXN0000040,05/01/2024 14:48,14,Friday,24.6,online,CUST004108,42,970,South,low,6,9,124.72,-100.12,0,0.55,desktop,0,0,0,0,0,0.1576
TXN0000041,01/06/2024 3:09,3,Saturday,23.55,ATM,CUST002128,36,4768,East,high,3,7,69.23,-45.68,0,0.296,desktop,0,0,1,0,0,0.1813
TXN0000042,17/01/2024 11:28,11,Wednesday,45.3,online,CUST000993,35,3477,West,medium,1,5,56.73,-11.43,0,0.385,mobile,0,0,0,0,0,0.0088
TXN0000043,27/02/2024 16:39,16,Tuesday,352.71,transfer,CUST003381,56,624,West,medium,1,5,327.75,24.96,0,0.517,desktop,0,0,0,0,0,0
TXN0000044,27/03/2024 15:37,15,Wednesday,736.81,online,CUST002100,52,4220,West,high,2,5,65.09,671.72,0,0.261,mobile,0,0,0,1,0,0.3487
TXN0000045,03/01/2024 21:55,21,Wednesday,101.39,online,CUST004558,18,1535,East,medium,3,4,61.36,40.03,0,0.337,unknown,0,0,0,0,0,0.0565
TXN0000046,02/01/2024 16:28,16,Tuesday,13.49,ATM,CUST004127,44,1225,South,low,2,5,70.6,-57.11,0,0.335,mobile,0,0,0,0,0,0
TXN0000047,06/01/2024 13:48,13,Saturday,61.99,online,CUST002617,30,2140,South,high,0,3,48.59,13.4,0,0.063,unknown,1,0,0,0,0,0.1758
TXN0000048,03/04/2024 6:44,6,Wednesday,3.9,online,CUST003760,23,1699,West,low,0,4,160.29,-156.39,0,0.287,mobile,0,0,0,0,0,0.0344
TXN0000049,13/04/2024 8:38,8,Saturday,84.96,POS,CUST000943,41,2007,South,high,2,4,24.74,60.22,1,0.358,mobile,0,0,0,0,0,0.2246
TXN0000050,06/03/2024 7:29,7,Wednesday,110.99,online,CUST005330,48,2838,South,high,1,4,98.12,12.87,1,0.47,mobile,0,0,0,0,0,0.2289
TXN0000051,22/06/2024 15:49,15,Saturday,124.51,online,CUST003628,,2059,East,medium,1,2,27.2,97.31,0,0.237,mobile,1,0,0,0,0,0.1657
TXN0000052,09/04/2024 6:46,6,Tuesday,121.68,online,CUST000557,40,3450,North,medium,1,6,171.21,-49.53,0,0.381,desktop,0,0,0,0,0,0.0086
TXN0000053,07/03/2024 0:30,0,Thursday,1007.98,online,CUST003250,27,1566,South,low,1,6,214.6,793.38,0,0.114,mobile,0,0,1,1,0,0.5368
TXN0000054,06/06/2024 10:35,10,Thursday,40.11,POS,CUST000221,24,3187,South,high,3,3,151.37,-111.26,0,0.333,unknown,0,0,0,0,0,0
TXN0000055,17/02/2024 3:14,3,Saturday,36.44,POS,CUST003357,43,4640,West,medium,1,4,140.64,-104.2,0,0.313,mobile,0,0,1,0,0,0.205
TXN0000056,08/02/2024 9:05,9,Thursday,203.7,online,CUST002509,37,1648,North,high,3,6,22.9,180.8,0,0.533,mobile,0,0,0,0,0,0.0082
TXN0000057,27/02/2024 7:08,7,Tuesday,238.29,online,CUST005487,34,3763,North,medium,0,2,87.04,151.25,0,0.22,mobile,0,1,0,0,0,0.1313
TXN0000058,15/06/2024 3:52,3,Saturday,56.57,online,CUST004188,54,3518,Central,high,1,6,27.01,29.56,0,0.166,desktop,0,0,1,0,0,0.1739
TXN0000059,15/01/2024 3:15,3,Monday,37.77,POS,CUST005122,26,2853,West,medium,1,4,158.62,-120.85,1,0.314,unknown,0,1,1,0,0,0.5057
TXN0000060,09/01/2024 14:34,14,Tuesday,92.26,transfer,CUST002677,26,3840,East,low,3,2,156.36,-64.1,0,0.361,desktop,0,0,0,0,0,0.038
TXN0000061,21/03/2024 5:25,5,Thursday,108.64,online,CUST003082,22,3330,Central,low,1,3,67.8,40.84,0,0.257,mobile,1,0,1,0,0,0.3407
TXN0000062,18/05/2024 8:32,8,Saturday,190.28,online,CUST005516,62,3988,Central,low,2,5,219.05,-28.77,1,0.296,mobile,0,0,0,0,0,0.1802
TXN0000063,24/03/2024 1:47,1,Sunday,101.79,transfer,CUST001291,19,907,North,low,2,2,107.9,-6.11,0,0.57,desktop,0,0,1,0,0,0.205
TXN0000064,16/02/2024 12:18,12,Friday,147.24,online,CUST004243,41,4453,South,low,1,5,85.5,61.74,0,0.434,desktop,0,1,0,0,0,0.1602
TXN0000065,21/02/2024 18:34,18,Wednesday,230.69,transfer,CUST004618,33,3655,North,low,2,3,168.57,62.12,0,0.254,desktop,0,0,0,0,0,0.0072
